번호,영단어,뜻
920,live,살다
921,mean,의미하다
922,last,지속하다
923,any,어떤
924,each,각각의
925,other,다른
926,another,또 다른
927,same,같은
928,too,"또한, 너무"
929,also,또한
930,really,정말로
931,nature,"자연, 본성"
932,state,"상태, 진술하다"
933,island,섬
934,group,"무리, 무리 짓다"
935,soldier,군인
936,habit,습관
937,culture,문화
938,history,역사
939,information,정보
940,advertisement,광고
941,science,과학
942,war,전쟁
943,store,"상점, 저장하다"
944,sound,"소리, 들리다"
945,point,"핵심, 가리키다"
946,land,착륙하다
947,turn,"차례, 회전하다"
948,fly,"날다, 파리"
949,begin,시작하다
950,grow,자라다
951,believe,믿다
952,worry,걱정하다
953,save,"구하다, 저장하다"
954,please,만족시키다
955,easy,쉬운
956,poor,"가난한, 어설픈"
957,such,"그러한, 그렇게"
958,just,"단지, 정당한"
959,back,"뒤, 등"
960,always,항상
961,neighbor,"이웃, 동네"
962,pet,애완동물
963,bottle,병
964,art,"예술, 기술"
965,poem,시
966,subject,"과목, 주제"
967,weekend,주말
968,price,왕자
969,custom,관습
970,fact,사실
971,rule,"규칙, 통치하다"
972,break,"깨다, 휴식"
973,check,확인하다
974,stay,머물다
975,bring,가져오다
976,build,"짓다, 축적하다"
977,join,합류하다
978,lose,"지다, 길을 잃다"
979,die,죽다
980,half,절반의
981,few,거의 없는
982,both,둘 다
983,sick,아픈
984,busy,바쁜
985,real,"실제의, 진정한"
986,wrong,잘못된
987,most,대부분의
988,late,늦은
989,together,함께
990,even,"심지어, 평평한"
991,brain,두뇌
992,voice,목소리
993,opinion,의견
994,age,"나이, 노화"
995,century,"세기, 100년"
996,event,"사건, 행사"
997,dish,"접시, 요리"
998,toy,"장난감, 장난치다"
999,subway,지하철
1000,hundred,백(100)
1001,thousand,"천(1,000)"
1002,rest,"쉬다, 나머지"
1003,waste,"낭비하다, 쓰레기"
1004,surprise,놀라게 하다
1005,bear,"견디다, 낳다"
1006,fight,싸우다
1007,buy,"사다, 구매하다"
1008,sell,"팔다, 팔리다"
1009,follow,"따르다, 추적하다"
1010,miss,"놓치다, 그리워하다"
1011,close,"가까운, 닫다"
1012,free,"자유로운, 무료의"
1013,upset,언짢은
1014,healthy,건강한
1015,delicious,맛있는
1016,sad,슬픈
1017,careful,주의 깊은
1018,ready,준비 된
1019,away,"멀리, 떨어진"
1020,however,하지만
1021,teenager,십대
1022,arm,"팔, 무기, 무장하다"
1023,skill,기술
1024,factory,공장
1025,prize,"상, 상을 주다"
1026,chance,"기회, 가능성"
1027,shape,"모양, 형태"
1028,difference,"차이, 차별"
1029,wall,벽
1030,contest,경연
1031,race,"경주, 인종"
1032,smell,냄새가 나다
1033,interest,흥미롭게 하다
1034,judge,판단하다
1035,cause,"원인, 유발하다"
1036,cover,"덮다, 다루다"
1037,travel,"여행하다, 이동하다"
1038,guess,추측하다
1039,finish,끝마치다
1040,wash,닦다
1041,introduce,"소개하다, 도입하다"
1042,hurt,상처를 주다(받다)
1043,tired,피곤한
1044,proud,"거만한, 당당한"
1045,dirty,더러운
1046,angry,화난
1047,modern,현대의
1048,useful,유용한
1049,soon,곧
1050,once,"한때, 일단 ~하면"
1051,clerk,점원
1052,foot,발
1053,company,"회사, 교제"
1054,garage,차고
1055,palace,왕궁
1056,hole,구멍
1057,bill,"지폐, 계산서, 법안"
1058,seed,씨앗
1059,medicine,"약, 의학"
1060,luck,"운, 행운"
1061,meaning,의미
1062,volunteer,자원하다
1063,view,"보다, 견해"
1064,lie,"눕다, ~에 있다"
1065,act,행동하다
1066,pay,지불하다
1067,shout,외치다
1068,cross,교차하다
1069,seem,보이다
1070,invite,초대하다
1071,arrive,도착하다
1072,collect,"모으다, 수집하다"
1073,rich,부유한
1074,blind,눈이 먼
1075,heavy,무거운
1076,terrible,끔찍한
1077,strange,"이상한, 낯선"
1078,possible,가능한
1079,maybe,아마도
1080,ago,~전에
1081,truth,진실
1082,success,성공
1083,friendship,우정
1084,being,존재
1085,goods,상품
1086,coin,동전
1087,bank,"은행, 둑, 제방"
1088,address,"주소, 연설하다"
1089,electricity,전기
1090,law,법
1091,campaign,"군사행동, 유세"
1092,sentence,"문장, 판결하다"
1093,heat,"열, 가열하다"
1094,circle,원
1095,reach,도착하다
1096,mix,"섞다, 혼합하다"
1097,excite,흥분시키다
1098,rise,오르다
1099,lead,이끌다
1100,enter,들어가다
1101,fill,채우다
1102,produce,생산하다
1103,cool,"시원한, 식히다"
1104,slow,"느린, 더딘"
1105,clear,"깨끗한, 분명한"
1106,FALSE,거짓의
1107,national,국가의
1108,main,주요한
1109,almost,거의
1110,finally,"마침내, 결국"
1111,peace,평화
1112,beauty,아름다움
1113,sight,"시각, 시력, 견해"
1114,nation,국가
1115,foreigner,외국인
1116,lend,빌리다
1117,magazine,잡지
1118,storm,폭풍
1119,straw,"빨대, 지푸라기"
1120,disease,질병
1121,respect,존중하다
1122,reply,대답하다
1123,record,기록하다
1124,cheer,응원하다
1125,shake,흔들다
1126,key,"열쇠, 핵심"
1127,square,사각형
1128,wake,깨어나다
1129,discover,발견하다
1130,solve,"풀다, 해결하다"
1131,continue,계속하다
1132,burn,"타다, 태우다"
1133,simple,"간단한, 검소한"
1134,quiet,조용한
1135,traditional,전통적인
1136,international,국제적인
1137,huge,"거대한, 엄청난"
1138,amazing,놀라운
1139,instead,대신에
1140,suddenly,갑자기
1141,creature,"생물, 생명체"
1142,police,경찰
1143,army,군인
1144,society,사회
1145,fan,"애호가, 부채"
1146,wheel,바퀴
1147,pair,"쌍, 짝"
1148,joy,즐거움
1149,memory,"기억, 기억력"
1150,recipe,조리법
1151,kid,아이
1152,smoke,연기
1153,favor,"애호, 선호"
1154,trick,"속임수, 비결"
1155,experiment,실험
1156,drop,"방울, 떨어뜨리다"
1157,press,"누르다, 압박하다"
1158,stick,"막대기, 찌르다"
1159,roll,구르다
1160,serve,제공하다
1161,improve,"개선하다, 나아지다"
1162,realize,"깨닫다, 실현하다"
1163,dry,"마른, 건조한"
1164,complete,완성하다
1165,lucky,운 좋은
1166,natural,"자연의, 당연한"
1167,friendly,"친절한, 친근한"
1168,cute,귀여운
1169,already,이미
1170,especially,특히
1171,couple,한 쌍
1172,honey,꿀
1173,tourist,관광객
1174,gate,"문, 입구"
1175,background,배경
1176,capital,"수도, 자본"
1177,valley,계곡
1178,direction,"방향, 지침"
1179,distance,거리
1180,behavior,행동
1181,object,"물체, 대상"
1182,dictionary,사전
1183,tear,"눈물, 찢다"
1184,honor,"명예, 존경"
1185,increase,증가하다
1186,bite,물다
1187,male,남성의
1188,native,토착의
1189,disappoint,실망시키다
1190,shine,빛나다
1191,fix,"고치다, 고정하다"
1192,pour,쏟아 붓다
1193,allow,허락하다
1194,prevent,"예방하다, 막다"
1195,certain,특정한
1196,mental,정신의
1197,comfortable,편안한
1198,expensive,비싼
1199,therefore,그러므로
1200,everywhere,어디서나
1201,hero,영웅
1202,ability,능력
1203,knowledge,지식
1204,technique,기술
1205,floor,"층, 바닥"
1206,cancer,암
1207,diet,"식단, 다이어트"
1208,garbage,쓰레기
1209,cash,현금
1210,countryside,"시골, 교외"
1211,route,"길, 경로"
1212,amount,양
1213,score,"점수, 득점하다"
1214,challenge,"도전, 고난"
1215,cure,치료하다
1216,appear,나타나다
1217,spread,퍼지다
1218,hunt,사냥하다
1219,destroy,파괴하다
1220,consider,"여기다, 고려하다"
1221,expect,예상하다
1222,suggest,제안하다
1223,cultural,문화의
1224,social,사회의
1225,elderly,"나이든, 구식의"
1226,unhappy,불행한
1227,crazy,"미친, 열광한"
1228,alive,살아있는
1229,outside,"외곽, 밖"
1230,quite,"꽤, 매우"
1231,god,신
1232,guest,손님
1233,diver,잠수부
1234,blood,피
1235,pool,웅덩이
1236,temple,"사원, 신전"
1237,thought,생각
1238,crop,"곡식, 작물"
1239,sheet,(종이 등의) 장
1240,quarter,01월 04일
1241,crowd,군중
1242,care,관심을 갖다
1243,strike,"치다, 파업"
1244,relative,"상대적인, 친척"
1245,patient,"인내심이 있는, 환자"
1246,gain,얻다
1247,provide,제공하다
1248,dig,파다
1249,explore,탐구(탐험)하다
1250,warn,경고하다
1251,recognize,인식(인정)하다
1252,celebrate,축하하다
1253,stupid,멍청한
1254,helpful,유용한
1255,convenient,편리한
1256,impossible,불가능한
1257,medical,의학의
1258,outdoor,야외
1259,forever,영원히
1260,indeed,실제로
1261,lawyer,변호사
1262,officer,경관
1263,university,대학교
1264,level,수준
1265,growth,성장
1266,journey,여행
1267,gun,총
1268,emergency,응급상황
1269,case,"사례, 경우"
1270,difficulty,어려움
1271,addition,"추가, 첨가"
1272,credit,"신용, 학점, 인정"
1273,fool,"바보, 속이다"
1274,harvest,수확하다
1275,figure,"숫자, 모양, 인물"
1276,tie,"묶다, 유대"
1277,boil,끓이다
1278,borrow,빌리다
1279,belong,속하다
1280,communicate,"소통하다, 전하다"
1281,confuse,혼동시키다
1282,survive,생존하다
1283,handsome,잘생긴
1284,gentle,정중한
1285,mad,미친
1286,merry,기쁜
1287,noisy,시끄러운
1288,scientific,과학적인
1289,mostly,대게
1290,anywhere,어디서나
1291,population,인구
1292,coast,해변
1293,bucket,양동이
1294,cart,수레
1295,cage,우리
1296,screen,"가리다, 차단하다"
1297,kite,연
1298,autumn,가을
1299,breeze,산들바람
1300,mess,"혼란, 엉망"
1301,litter,더럽히다
1302,joke,농담
1303,hike,걷다
1304,fear,두려움
1305,offer,제공(제안)하다
1306,remain,여전히 ~이다
1307,repair,수리하다
1308,blank,"공허한, 빈칸"
1309,final,마지막의
1310,public,공공의
1311,bend,구부리다
1312,float,"뜨다, 표류하다"
1313,bark,"짖다, 나무껍질"
1314,concentrate,집중하다
1315,dead,죽은
1316,personal,개인적인
1317,historic,역사적인
1318,western,서쪽의
1319,ahead,"앞에, 앞서서"
1320,exactly,정확히
1321,climate,기후
1322,degree,"정도, 학위"
1323,article,"기사, 물품"
1324,metal,금속의
1325,monster,괴물
1326,treasure,"보물, 귀중히 여기다"
1327,symbol,상징
1328,ceremony,의식
1329,congratulation,축하
1330,breath,호흡
1331,death,죽음
1332,headache,두통
1333,muscle,근육
1334,base,"기본, 기초"
1335,lock,잠그다
1336,dislike,싫어하다
1337,feed,먹이를 주다
1338,rent,임대하다
1339,suffer,고통을 주다
1340,hang,매달다
1341,wrap,포장하다
1342,pleasant,유쾌한
1343,lonely,외로운
1344,thirsty,목마른
1345,polite,정중한
1346,rude,무례한
1347,excellent,훌륭한
1348,overweight,과체중의
1349,perhaps,아마도
1350,twice,"두 번, 두 배"
1351,generation,세대
1352,self,자아
1353,maxim,격언
1354,portrait,초상화
1355,fist,주먹
1356,darkness,어둠
1357,earthquake,지진
1358,weapon,무기
1359,charity,자선단체
1360,saying,속담
1361,issue,"문제, 발행하다"
1362,signal,신호를 보내다
1363,exchange,교환하다
1364,swallow,"삼키다, 제비"
1365,average,평균적인
1366,official,공식적인
1367,gray,"화색, 회색의"
1368,prefer,선호하다
1369,relax,쉬다
1370,reduce,줄이다
1371,bury,묻다
1372,shoot,쏘다
1373,yell,고함을 지르다
1374,powerful,강력한
1375,faithful,신뢰할만한
1376,creative,창의적인
1377,deaf,귀가 먼
1378,electronic,전자의
1379,nearly,거의
1380,happily,행복하게
1381,birth,"출생, 탄생"
1382,childhood,어린 시절
1383,education,교육
1384,emotion,감정
1385,attitude,태도
1386,courage,용기
1387,condition,"상태, 조건"
1388,fever,열
1389,conversation,대화
1390,adventure,모험
1391,triangle,삼각형
1392,bulb,전구
1393,attack,공격하다
1394,cough,"기침, 기침하다"
1395,flow,흐르다
1396,search,조사(검색)하다
1397,original,"본래의, 참신한"
1398,opposite,정반대의
1399,jog,"뛰다, 달리다"
1400,scan,조사하다
1401,describe,묘사하다
1402,freeze,얼다
1403,remove,제거하다
1404,single,단 하나의
1405,positive,긍정적인
1406,ugly,추한
1407,northern,북쪽의
1408,nearby,근처에
1409,upside down,거꾸로
1410,downtown,시내
1411,manager,관리자
1412,shore,해안
1413,sunrise,"일출, 해돋이"
1414,lighting,조명
1415,wire,"배선, 배선하다"
1416,stage,무대
1417,zone,지역
1418,height,"키, 높이"
1419,prediction,"예측, 예언"
1420,marriage,결혼
1421,period,"기간, 마침표"
1422,claim,주장하다
1423,deal,거래
1424,limit,제한하다
1425,tap into,활용하다
1426,spray,뿌리다
1427,weigh,무게가 나가다
1428,pray,기도하다
1429,greet,인사하다
1430,chew,씹다
1431,attract,끌어들이다
1432,overcome,극복하다
1433,salty,짠
1434,southern,남쪽의
1435,curious,호기심이 있는
1436,humorous,유머 있는
1437,foolish,멍청한
1438,greedy,탐욕스러운
1439,valuable,귀중한
1440,certainly,분명히
1441,architect,건축가
1442,narrator,해설자
1443,enemy,적
1444,throat,"목, 성대"
1445,illness,질병
1446,weed,잡초
1447,humor,유머
1448,volcano,화산
1449,kingdom,왕국
1450,attempt,시도하다
1451,award,수상(수여)하다
1452,broadcast,방송하다
1453,aid,돕다
1454,nod,끄덕이다
1455,escape,탈출하다
1456,envy,부러워하다
1457,measure,측정하다
1458,chief,"우두머리, 주요한"
1459,total,전체의
1460,worth,"가치, 가치 있는"
1461,embarrass,난처하게 하다
1462,erupt,붕괴하다
1463,perform,"실행하다, 공연하다"
1464,publish,출판하다
1465,silent,조용한
1466,silly,어리석은
1467,scary,무서운
1468,sore,"아픈, 쑤시는"
1469,bitter,"쓰라린, 혹독한"
1470,lately,"요즈음, 최근"
1471,happiness,행복
1472,freedom,자유
1473,independence,"독립, 자립"
1474,imagination,"상상, 상상력"
1475,importance,중요
1476,speech,"말, 연설"
1477,silence,"침묵, 고요"
1478,invitation,초대
1479,exhibition,"전시, 전시회"
1480,sculpture,조각
1481,region,"지방, 지역"
1482,position,"자세, 위치"
1483,research,조사하다
1484,aim,"목표, 겨냥하다"
1485,moral,"도덕, 도덕적인"
1486,extra,여분의
1487,arrange,"배열하다, 조율하다"
1488,advise,충고하다
1489,recommend,추천하다
1490,declare,선언하다
1491,prove,증명하다
1492,injure,다치게 하다
1493,connect,연결하다
1494,hug,끌어 안다
1495,foggy,안개 낀
1496,neat,"깔끔한, 단정한"
1497,loose,"느슨한, 헐거운"
1498,endangered,위기에 처한
1499,bound,"경계, 범위"
1500,recently,최근에
1501,peer,"동년배, 또래"
1502,pressure,압박
1503,association,"연합, 제휴"
1504,playground,"운동장, 놀이터"
1505,pond,연못
1506,harbor,항구
1507,frame,"틀, 구조, 골격"
1508,hammer,망치
1509,expression,표현
1510,quality,"질, 자질"
1511,movement,"움직임, 운동"
1512,package,꾸러미
1513,survey,조사하다
1514,panic,"당환, 공항"
1515,sigh,한숨을 쉬다
1516,rinse,헹구다
1517,appeal,"매력, 호소하다"
1518,sweep,"청소하다, 휩쓸다"
1519,consist,"구성되다, 있다"
1520,unify,통합하다
1521,depress,우울하게 하다
1522,blame,비난하다(받다)
1523,smooth,부드러운
1524,wooden,나무의
1525,helpless,무기력한
1526,incredible,믿을 수 없는
1527,available,이용 가능한
1528,ancient,고대의
1529,recent,최근의
1530,thus,"따라서, 이렇게"
1531,dinosaur,공룡
1532,ruler,"통치자, 지배자"
1533,admiral,"해군 장성, 제독"
1534,liberty,자유
1535,unification,"통합, 단일화"
1536,trial,"시도, 재판"
1537,treatment,치료
1538,shelter,"은신처, 피난하다"
1539,orphanage,고아원
1540,item,물품
1541,firewood,땔감
1542,dessert,"디저트, 후식"
1543,range,범위
1544,rumor,소문
1545,vehicle,"차량, 탈것, 수단"
1546,sew,꿰매다
1547,associate,"관련짓다, 연상하다"
1548,identify,식별(분간)하다
1549,mention,언급하다
1550,establish,"세우다, 정하다"
1551,unite,결합하다
1552,frustrate,좌절시키다
1553,blond,금발의
1554,cheerful,유쾌한
1555,careless,부주의한
1556,dull,"무딘, 우둔한"
1557,disgusting,역겨운
1558,willing,자발적인
1559,golden,황금의
1560,apart,떨어져서
1561,passenger,승객
1562,continent,대륙
1563,port,항구
1564,cooperation,"협력, 협동"
1565,competition,"경쟁, 경연"
1566,convenience,"편의, 편리"
1567,curiosity,호기심
1568,suicide,자살하다
1569,bullet,총알
1570,backbone,"등뼈, 척추"
1571,descendant,"자손, 후예"
1572,collection,"수집, 소장품"
1573,desire,"바라다, 갈망하다"
1574,export,수출하다
1575,stare,응시하다
1576,deceive,속이다
1577,commit,저지르다
1578,twist,비틀다
1579,decorate,장식하다
1580,convert,전환하다
1581,tend,~하는 경향이 있다
1582,firm,"단호한, 회사"
1583,senior,"손위의, 선배의"
1584,major,주요한
1585,minor,"사소한, 소수의"
1586,individual,"개인, 개인의"
1587,grand,"웅대한, 장엄한"
1588,odd,"홀수의, 이상한"
1589,awkward,"서투른, 어색한"
1590,directly,직접적으로
1591,universe,우주
1592,laughter,웃음
1593,knee,무릎
1594,gym,체육관
1595,equipment,"장비, 설비"
1596,rope,밧줄
1597,refrigerator,냉장고
1598,production,생산
1599,tradition,전통
1600,religion,종교
1601,semester,학기
1602,course,"과정, 강의"
1603,flea,벼룩
1604,plug,전기를 연결하다
1605,ache,아픔
1606,handle,다루다
1607,pause,멈추다
1608,admire,감탄(칭찬)하다
1609,apologize,사과하다
1610,threaten,위협하다
1611,arrest,체포하다
1612,select,선택하다
1613,narrow,"좁은, 좁히다"
1614,attractive,매력적인
1615,awful,"두려운, 불쾌한"
1616,casual,격식 없는
1617,capable,유능한
1618,absent,결석의
1619,alike,"같은, 마찬가지의"
1620,otherwise,그렇지 않으면
1621,author,작가
1622,secretary,"비서, 서기, 장관"
1623,beggar,거지
1624,shepherd,양치기
1625,fable,우화
1626,tongue,혀
1627,departure,출국
1628,entrance,입구
1629,method,방법
1630,aptitude,적성
1631,victory,승리
1632,chain,"사슬, 연쇄"
1633,billion,10억
1634,blossom,"꽃, 꽃을 피우다"
1635,praise,칭찬하다
1636,wind,바람
1637,require,요구하다
1638,tremble,"떨다, 흔들리다"
1639,starve,굶주리다
1640,quit,그만두다
1641,spoil,망치다
1642,punish,벌하다
1643,translate,"번역하다, 바꾸다"
1644,wealthy,부유한
1645,dependent,의존적인
1646,mild,온화한
1647,harsh,혹독한
1648,informal,비공식적인
1649,lunar,달의
1650,overseas,해외의
1651,counselor,"고문, 상담자"
1652,opportunity,기회
1653,literature,문학
1654,illusion,"환상, 환각"
1655,leisure,여가
1656,shuttle,왕복선
1657,location,위치
1658,laundry,세탁물
1659,germ,병균
1660,length,길이
1661,relation,관계
1662,similarity,유사
1663,sort,분류하다
1664,rental,"임대, 임대료"
1665,commercial,상업적인
1666,ideal,이상적인
1667,complex,복잡한
1668,junior,"손아래의, 후배의"
1669,shut,"닫다, 막다"
1670,bore,지루하게 하다
1671,compose,작문(작곡)하다
1672,mend,"고치다, 수선하다"
1673,inform,"알리다, 공지하다"
1674,calculate,계산하다
1675,ordinary,평범한
1676,selfish,이기적인
1677,strict,엄격한
1678,sour,"신, 신맛의"
1679,solar,태양의
1680,neither,둘 다 ~아닌
1681,conductor,지휘자
1682,court,"법정, 경기장"
1683,dictation,"명령, 지시, 받아쓰기"
1684,jam,"잼, 정체"
1685,string,"끈, 줄"
1686,salary,급여
1687,scale,"규모, 비늘, 저울"
1688,spot,"지점, 식별하다"
1689,shame,"부끄러움, 수치"
1690,chemistry,화학
1691,import,수입하다
1692,load,짐을 싣다
1693,link,연결하다
1694,assistant,"조수, 보조"
1695,liquid,액체
1696,solid,"고체, 딱딱한"
1697,evil,"악, 악의"
1698,snap,"덥석 물다, 낚아채다"
1699,possess,소유하다
1700,contribute,기여(공헌)하다
1701,recover,회복하다
1702,ignore,무시하다
1703,diligent,"근면한, 성실한"
1704,pale,창백한
1705,brief,"간단한, 간략한"
1706,rare,"드문, 희귀한"
1707,genetic,"유전의, 유전자의"
1708,organic,유기농의
1709,holy,신성한
1710,unfortunately,불행히도
1711,atmosphere,"대기권, 분위기"
1712,voyage,"여행, 항해"
1713,navy,해군
1714,instrument,"도구, 악기"
1715,tube,"관, 튜브"
1716,leather,가죽
1717,jewel,보석
1718,mud,진흙
1719,target,"목표, 과녁"
1720,aspect,측면
1721,anger,분노
1722,iron,"철, 다림질하다"
1723,comment,논평하다
1724,protest,항의하다
1725,concern,염려하다
1726,dump,"버리다, 폐기하다"
1727,enable,~할 수 있게 하다
1728,annoy,괴롭히다
1729,insist,주장(고집)하다
1730,combine,조합(결합)하다
1731,owe,빚을 지다
1732,cease,중단하다
1733,awake,깨어나다
1734,idle,"게으른, 한가한"
1735,previous,이전의
1736,efficient,효율적인
1737,rough,"거친, 험한"
1738,severe,혹독한
1739,romantic,낭만적인
1740,sometime,언젠가
1741,identity,"동일, 정체, 신원"
1742,devil,"악마, 악마의"
1743,spectator,"관객, 구경꾼"
1744,recreation,"오락, 기분전환"
1745,income,수입
1746,tax,세금
1747,fee,요금
1748,fuel,연료
1749,burden,"짐, 부담"
1750,selection,"선택, 선별"
1751,sum,"총계, 요약하다"
1752,profit,이윤
1753,process,"과정, 절차, 가공하다"
1754,exit,"출구, 나가다"
1755,purchase,구매하다
1756,defeat,"물리치다, 패배시키다"
1757,persuade,설득하다
1758,emphasize,강조하다
1759,accuse,고소(비난)하다
1760,investigate,조사하다
1761,distinguish,구별하다
1762,adopt,채택(입양)하다
1763,usual,"평범한, 보통의"
1764,primary,"주요한, 제1의"
1765,sufficient,충분한
1766,accurate,정확한
1767,complicated,복잡한
1768,artificial,인공의
1769,tropical,열대의
1770,hardly,거의 ~아닌
1771,mankind,인류
1772,poet,시인
1773,detective,탐정
1774,consumer,소비자
1775,chef,요리사
1776,wage,"임금, 급료"
1777,steel,강철
1778,device,"장치, 설비"
1779,pill,알약
1780,ceiling,천장
1781,aisle,"통로, 복도"
1782,appearance,외모
1783,destination,목적지
1784,sweat,땀을 흘리다
1785,switch,"바꾸다, 전환하다"
1786,grab,움켜쥐다
1787,plain,"평범한, 평원"
1788,giant,"거인, 거대한"
1789,found,"설립하다, 세우다"
1790,seek,"찾다, 구하다"
1791,fog,안개
1792,swing,"흔들다, 그네"
1793,cancel,취소하다
1794,avoid,회피하다
1795,permanent,영구적인
1796,temporary,일시적인
1797,steep,가파른
1798,logical,논리적인
1799,ridiculous,우스운
1800,stairway,계단
